Titulo,URL,Fecha,Contenido,Diario
Informe periodístico revela costoso Rolex que luce Dina Boluarte,https://canaln.pe/buscar/actualidad/informe-periodistico-revela-costoso-rolex-que-luce-dina-boluarte-n471777,2024-03-15,"Noticias de Actualidad y del Mundo, mascarillas, Pedro Castillo, Aníbal Torres, protestas, Ucrania, sismos | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604404Página no encontradaLa noticia que buscas no está aquí. ¿Por qué no exploras otras noticias?Por favor búscalo aquíSearchLo últimoWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""Policías detenidos por presunto cobro de coimas a capturadosPucallpa: Trabajadores de la CGTP y profesores del SUTEP exigen respeto a la negociación colectivaPuno: Escolares estudian en establo por falta de aulasCaso Rolex: Wilfredo Oscorima declara en la FiscalíaDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónMunicipalidad de San Borja multa a vecino por pintar mural en su casa de Los Caballeros del ZodiacoEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosPrecio del dólar: Cotización de la moneda verde para este juevesCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""VER MÁSLoading...Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Dina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño”,https://canaln.pe/actualidad/dina-boluarte-responde-sobre-uso-reloj-rolex-lo-que-tengo-fruto-mi-esfuerzo-y-mi-trabajo-articulo-antano-n471787,2024-03-15,"Boluarte sobre reloj Rolex: Es fruto de mi esfuerzo | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño”La jefa del Estado también abordó la importancia de los Panamericanos de 2027. / Video: Canal NSubrayó su compromiso con la transparencia y la integridad, asegurando que ingresó al gobierno con 'manos limpias'. Remarcó que en su ""ADN no es ser corrupta""
Por:Redacción Canal N »La presidente de la República, Dina Boluarte, respondió sobre informe periodístico por el uso de un reloj “Rolex” valorado en 14 mil dólares.  
En declaraciones a la prensa, la mandataria afirmó que su patrimonio es fruto del esfuerzo y el trabajo desde sus dieciocho años.
“Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño, lo uso eventualmente”, expresó.
Subrayó su compromiso con la transparencia y la integridad, asegurando que ingresó al gobierno con 'manos limpias'. 

“He entrado al palacio de gobierno con las manos limpias y saldré con las manos limpias como lo he prometido. En mi ADN está no es ser corrupta”, remarcó. 

A pesar de los cuestionamientos, Dina Boluarte calificó que ciertas interrogantes caen en lo personal y agradeció que se respete su privacidad. 
Lima 2027 traerá inversiones
La jefa del Estado también abordó la importancia de los Panamericanos de 2027 para la generación de empleo y el desarrollo del país, vinculando la inversión y la creación de puestos de trabajo como mecanismos para reducir la delincuencia. 
En relación con el congreso, la presidenta criticó la ausencia de congresistas durante la interpelación a ministros y llamó al respeto mutuo y la responsabilidad de los representantes para con su labor de fiscalización. 
Ver tambiénSusel Paredes sobre relojes de Dina Boluarte: ""Tiene que responder ante eso""Informe periodístico revela costoso Rolex que luce Dina BoluarteDina Boluarte sobre Lima 2027: No perderemos el tiempo y nos pondremos a trabajar TagsDina BoluarterelojRolexLima 2027RelacionadasActualidadCaso Rolex: Wilfredo Oscorima se retiró de la Fiscalía tras diligenciasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Ministros Arana y Demartini restan importancia al tema del reloj Rolex de Boluarte,https://canaln.pe/actualidad/ministros-arana-y-demartini-restan-importancia-al-tema-reloj-rolex-boluarte-n471790,2024-03-15,"Ministros Arana y Demartini restan importancia al Rolex de  | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadMinistros Arana y Demartini restan importancia al tema del reloj Rolex de BoluarteEduardo Arana y Julio Demartini, ministros de Justicia e Inclusión, respectivamente / Foto: PresidenciaMinistros Arana y Demartini restan importancia al tema del costoso reloj de la mandataria peruana
Por:Redacción Canal N »
Eduardo Arana y Julio Demartini, ministros de Justicia e Inclusión Social, respectivamente, se pronunciaron respecto al informe periodístico que da cuenta de lujosos relojes que posee la presidenta Dina Boluarte.


Arana Ysa consideró que se trata de un tema personal. Además resaltó que en la gestión de Dina Boluarte “no hay ningún acto de corrupción”.


“Yo creo que ese es un asunto personal, se debe mirar lo más importante. No hay ningún acto de corrupción en este gobierno, que le quede claro a todos los periodistas y la ciudadanía”, dijo el ministro de Justicia, desde Trujillo.


Por su parte, el ministro Julio Demartini señaló que se debe prestar atención a lo “trascendente para el Perú”. Indicó que la presidenta “dará la información respectiva”.


“Yo no quito importancia e interés de los medios o de la asistencia de fiscalización en nuestros temas, pero pongamos en el centro de la atención lo que es realmente trascendente para el Perú”, señaló.

Ver tambiénDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño”Susel Paredes sobre relojes de Dina Boluarte: ""Tiene que responder ante eso""Informe periodístico revela costoso Rolex que luce Dina Boluarte TagsDina BoluarteRolexEduardo AranaJulio DemartiniRelacionadasActualidadCaso Rolex: Wilfredo Oscorima se retiró de la Fiscalía tras diligenciasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Especialista en relojes de alta gama señala que Rolex de la presidenta no es un modelo de antaño,https://canaln.pe/actualidad/especialista-relojes-alta-gama-boluarte-oscila-entre-us-12000-y-15500-n471795,2024-03-15,"Especialista en relojes de alta gama señala que Rolex de la | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadEspecialista en relojes de alta gama señala que Rolex de la presidenta no es un modelo de antañoDavid Sun, representante de Perú Watches, estimó el costo del reloj entre los US$ 12,000 y 15,500
Video: Canal NPor:Redacción Canal N »David Sun, representante de Perú Watches, descartó que el costoso reloj marca Rolex que luce la presidenta Dina Boluarte sea un modelo de ""antaño"", tal y como aseguró la mandataria ante los cuestionamientos que pesan sobre ella por la compra de la joya.De acuerdo con Sun, el modelo Datejust de Rolex que usa la presidenta Boluarte tiene ciertas características que evidencian que no es un artefacto antiguo, sino que data del año 2013 en adelante.""Es un Datejust, que es un modelo icónico de Rolex, está hecho de acero y oro. Tiene correa Oyster, que es muy elegante, y es un reloj moderno"", sostuvo en diálogo con Canal N.Además, Sun estimó el costo del reloj entre los US$ 12,000 y 15,500.""UN ARTÍCULO DE ANTAÑO""Al ser cuestionada por la prensa este viernes, la presidenta Boluarte calificó de “tendencioso” el reportaje que reveló el reloj Rolex, asegurando que lo compró con “el fruto de su esfuerzo”. “Lo que quiero decirle no a la noticia tendenciosa, sino al Perú entero: ‘Trabajo desde mis 18 años y lo que tengo es fruto de mi esfuerzo y de mi trabajo’. El artículo en particular es de antaño y lo uso muy eventualmente”, dijo.Asimismo, Boluarte indicó que la joya es un “artículo de antaño” y se limitó a pedir “que no entren en temas personales”.Cabe recordar que la mandataria no consignó el reloj en ninguna de las declaraciones juradas que presentó ante el Jurado Nacional de Elecciones (JNE) desde la primera vez que postuló a cargos de elección popular, a pesar que existe un apartado en la declaración jurada en el que se pueden mencionar joyas y antiguëdades que tengan un valor superior a las 2 UIT.Ver tambiénDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño”Susel Paredes sobre relojes de Dina Boluarte: ""Tiene que responder ante eso""Ministros Arana y Demartini restan importancia al tema del reloj Rolex de Boluarte TagsRolexDina Boluarteperú watchesRelacionadasActualidadCaso Rolex: Wilfredo Oscorima se retiró de la Fiscalía tras diligenciasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Especialista en relojes de alta gama estima que Rolex de Dina Boluarte es un modelo del 2020 en adelante,https://canaln.pe/actualidad/especialista-relojes-alta-gama-estima-que-rolex-dina-boluarte-modelo-2020-adelante-n471843,2024-03-18," Rolex de Dina Boluarte es un modelo del 2020 en adelante | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadEspecialista en relojes de alta gama estima que Rolex de Dina Boluarte es un modelo del 2020 en adelanteDavid Su, representante de Perú Watches, indicó que el nombre del comprador del lujoso reloj Rolex está registrado en el distribuidor oficial
El costoso reloj de Dina Boluarte. Foto y video: Cuarto PoderPor:Redacción Canal N »
David Su, especialista en relojes de alta gama, indicó que el modelo del Rolex de la presidenta Dina Boluarte es del 2020 en adelante, contradiciendo la versión de la mandataria, quien aseguró que es un ""artículo de antaño"".

""Lo que me da idea del año son los orificios que no tiene en la caja y los diamantes que se pueden ver en el 6 y el 9. Es un reloj del 2020 en adelante. Rolex tiene diferentes presentaciones"", sostuvo en Cuarto Poder.Asimismo, Su indicó que, debido a la exclusividad y estatus de la marca, el nombre del comprador queda registrado por temas de garantía o reparación. Por ello, si la presidenta lo ha comprado personalmente, figurará su nombre, y si se trata del regalo de un tercero, aparecerá el de esa persona.Cabe recordar que la presidenta Boluarte no consignó el reloj en ninguna de las declaraciones juradas que presentó ante el Jurado Nacional de Elecciones (JNE) desde la primera vez que postuló a cargos de elección popular, a pesar que existe un apartado en la declaración jurada en el que se pueden mencionar joyas y antiguëdades que tengan un valor superior a las 2 UIT.Ver tambiénDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño”Susel Paredes sobre relojes de Dina Boluarte: ""Tiene que responder ante eso""Informe periodístico revela costoso Rolex que luce Dina Boluarte Tagscuarto poderDina BoluarteRolexRelacionadasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadCaso Rolex: Wilfredo Oscorima declara en la FiscalíaActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
"Alex Contreras sobre relojes Rolex: ""No usamos recursos públicos""",https://canaln.pe/actualidad/alex-contreras-sobre-relojes-rolex-no-usamos-recursos-publicos-n471873,2024-03-18,"Alex Contreras sobre Rolex: ""No usamos recursos públicos"" | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadAlex Contreras sobre relojes Rolex: ""No usamos recursos públicos""El exministro de Economía garantizó en Octavo Mandamiento que en su gestión no se usaron recursos para que la presidenta obtenga relojes y que hay temas más importantes que tratar
El extitular de Economía señaló que no se usaron recursos del Estado para que la presidenta obtenga relojes Rolex / Fuente: Canal NPor:Redacción Canal N »Ver tambiénFiscalía abre investigación a la presidenta Dina Boluarte por presunto enriquecimiento ilícitoEspecialista en relojes de alta gama estima que Rolex de Dina Boluarte es un modelo del 2020 en adelanteDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño” TagsOctavo MandamientoAlex ContrerasRelacionadasActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""ActualidadCongresista Elvis Vergara: ""La Fiscalía actúa de acuerdo a la ola política""ActualidadConsejo Fiscal advirtió ""peligrosa situación"" de sobreendeudamiento en la Municipalidad de LimaActualidadExministro Alonso Segura sobre retiro de AFP: ""Hay 2 millones de personas que no van a tener pensión""ActualidadPartido Morado someterá a procedimiento disciplinario al nuevo ministro de AgriculturaActualidadGraciela Villasís sobre Dina Boluarte: ""Nunca explicó cómo compró un carro de US$ 26 mil al contado""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Ministra de la Mujer sobre Rolex de Dina Boluarte: “Es un tema personal. No debemos distraernos con estas denuncias”,https://canaln.pe/actualidad/ministra-mujer-sobre-rolex-dina-boluarte-tema-personal-no-debemos-distraernos-estas-denuncias-n471881,2024-03-19,"Tolentino sobre Rolex de Boluarte: Es un tema personal | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadMinistra de la Mujer sobre Rolex de Dina Boluarte: “Es un tema personal. No debemos distraernos con estas denuncias”La ministra de la Mujer mencionó que la mandataria no tendrá problemas en asistir a las diligencias. / Video: Canal N La titular del MIMP dijo que, según el contralor Nelson Shack, los funcionarios no están obligados a declarar todos sus artículos personales
Por:Redacción Canal N »La ministra de la Mujer, Nancy Tolentino, pidió no distraer la opinión pública de los problemas del país tras estos cuestionamientos a la presidenta Dina Boluarte sobre sus relojes. 
En diálogo con Canal N, la titular del MIMP dijo que según el contralor Nelson Shack los funcionarios no están obligados a declarar todos sus artículos personales.
“El contralor señala que no estamos obligados a declarar a detalle los objetos de uso personal”, declaró Tolentino.
“Respetamos los poderes del Estado cada institución, las cumplimos, la acogemos, pero siempre voy a llamar la atención por estas problemáticas”, agregó. 
En esa línea, la ministra de la Mujer mencionó que la mandataria no tendrá problemas en asistir a las diligencias del Ministerio Público. 
""El contralor expresó que los servidores públicos no están obligados de declarar al detalle los objetos personales. En ese sentido, me quedo con lo que ha dicho la máxima autoridad del control y cada quien actúa en el marco de sus funciones"", continuó. 

Sobre el voto de confianza al gabinete 
La titular del MIMP, Nancy Tolentino, dijo que el gabinete tiene ""confianza"" en que el Congreso le otorgue el voto de confianza. Además, remarcó que tienen la ""actitud de dialogar"".

""Siempre vamos hacer un gabinete que tenga confianza, de esperanza y mucha fe, aún en incertidumbre"", expresó.

Moción de censura contra el ministro del Interior
Nancy Tolentino salió en defensa del ministro Víctor Torres y dijo que el tema de la inseguridad no nació el año pasado. También criticó que ""salgan muchas personas a opinar que en su momento pudieron hacer la diferencia"". 

Al respecto, mencionó que los resultados se van a ver en el corto o largo plazo. Luego indicó que la presidenta ""evalúa al gabinete día a día"".
Día mundial de la adopción
La ministra de la Mujer señaló que el estado peruano cuenta con 57 centros residenciales de acogida que albergan a 3000 menores, algunos ya en proceso de adopción.
 
Mientras se les busca una familia permanente, se les proporciona cuidado integral. Además, se fomenta el acogimiento familiar temporal, especialmente crucial para recién nacidos, dada su influencia en el desarrollo integral.
Las campañas de sensibilización extienden su alcance a instituciones sociales y religiosas, con el objetivo de alentar a más familias a abrir sus corazones y hogares a los niños que esperan una familia.
Ver tambiénFiscalía abre investigación a la presidenta Dina Boluarte por presunto enriquecimiento ilícitoEspecialista en relojes de alta gama estima que Rolex de Dina Boluarte es un modelo del 2020 en adelanteDina Boluarte sobre uso de reloj Rolex: “Lo que tengo es fruto de mi esfuerzo y de mi trabajo. Es un artículo de antaño” TagsNancy TolentinoDina BoluarteRolexNelson ShackRelacionadasActualidadDina Boluarte sobre vínculo con Wilfredo Oscorima: Tenemos una amistadActualidadDina Boluarte aseguró que Wilfredo Oscorima le prestó relojes RolexActualidadCaso Rolex: Dina Boluarte declaró ante fiscal Juan Carlos VillenaActualidadEduardo Arana sobre Dina Boluarte: Esperemos a que termine de declarar para dejar las especulacionesActualidadDefensor del Pueblo rechazó dictamen sobre ingreso a la carrera magisterial de docentes retiradosActualidadExdefensor Walter Albán sobre Dina Boluarte: ""Mostró la pobreza moral que arrastra hacia su Gobierno""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Contralor Nelson Shack sobre Rolex de Dina Boluarte: Funcionarios no están obligados a detallar bienes,https://canaln.pe/actualidad/contralor-nelson-shack-sobre-rolex-dina-boluarte-funcionarios-no-estan-obligados-detallar-bienes-n471885,2024-03-19,"Contralor: Funcionarios no están obligados a aclarar bienes | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadContralor Nelson Shack sobre Rolex de Dina Boluarte: Funcionarios no están obligados a detallar bienesLa controversia alrededor de las posesiones de la presidenta, revelada durante su mandato como ministra de Desarrollo e Inclusión Social. / Video: Canal NDurante su visita a la ciudad de Arequipa, el contralor subrayó que los funcionarios públicos no están requeridos a informar sobre sus objetos personales de valor
Por:Redacción Canal N »El contralor general de la República, Nelson Shack, se pronunció sobre los relojes de alta gama que utiliza la presidenta Dina Boluarte.

Durante su visita a la ciudad de Arequipa, el contralor subrayó que los funcionarios públicos no están requeridos a informar sobre sus objetos personales de valor, como relojes, cuadros o pulseras, independientemente de su costo. 

La normativa actual excluye estos artículos de la necesidad de ser reportados como parte del patrimonio personal en las declaraciones juradas, lo cual ha generado diversas opiniones en la opinión pública.
Este punto ha sido particularmente notorio en el caso de las declaraciones de Boluarte, quien ha ocupado el cargo de ministra de Desarrollo e Inclusión Social.
Fiscalía abre investigación a la presidenta Dina Boluarte por presunto enriquecimiento ilícito
El Ministerio Público dispuso iniciar diligencias preliminares a la presidenta Dina Boluarte por presunto enriquecimiento ilícito y omisión de funciones ""por el uso de relojes marca Rolex"".
A través de un comunicado, la Fiscalía precisó que la investigación estará a cargo del Área de Enriquecimiento Ilícito y Denuncias Constitucionales.
Ver tambiénMinistra de la Mujer sobre Rolex de Dina Boluarte: “Es un tema personal. No debemos distraernos con estas denuncias”Fiscalía abre investigación a la presidenta Dina Boluarte por presunto enriquecimiento ilícitoEspecialista en relojes de alta gama estima que Rolex de Dina Boluarte es un modelo del 2020 en adelante TagsNelson ShackDina BoluarteRolexRelacionadasActualidadCaso Rolex: Wilfredo Oscorima se retiró de la Fiscalía tras diligenciasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
César Vásquez sobre caso Rolex: Dina Boluarte nunca ha rehuido a las investigaciones,https://canaln.pe/actualidad/cesar-vasquez-sobre-caso-rolex-dina-boluarte-nunca-ha-rehuido-investigaciones-n471886,2024-03-19,"César Vásquez: Boluarte nunca ha rehuido a investigaciones | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadCésar Vásquez sobre caso Rolex: Dina Boluarte nunca ha rehuido a las investigacionesVásquez Sánchez además calificó este caso como uno “doméstico” / Video: Canal NEl ministro de Salud calificó el hecho como uno de carácter “doméstico”. Indicó que existen temas más importantes
Por:Redacción Canal N »
César Vásquez, titular del Ministerio de Salud (Minsa), resaltó que la presidente de la República del Perú, Dina Boluarte, se allanará a las investigaciones que inició la Fiscalía de la Nación por el caso del reloj Rolex.


“El Ministerio Público tiene todo el derecho a comenzar las investigaciones que considere. Nunca la presidenta ha rehuido ninguna investigación, esta no será la excepción”, dijo el titular del Minsa a los medios de comunicación.


Vásquez Sánchez además calificó este caso como uno “doméstico” y consideró que existen temas más importantes.


“Estamos predispuestos a contribuir con la justicia, aunque nos parecen, a mí particularmente, que son cosas muy domésticas, habiendo tantos temas importantes en el país”, dijo el ministro de Salud. 

Medicamentos genéricos

Por otro lado, el ministro Vásquez informó que el Gobierno ya aprobó la ley que obliga a todas las farmacias a contar con un stock del 30% de medicamentos genéricos. Agregó que la lista de fármacos será ampliada y que el reglamento saldrá en unos diez días.

“Se ha puesto el 30% de medicamentos del total del stock para que sean genéricos y además ya se está ampliando la lista de fármacos, porque eran 40, hoy van a ser mucho más. La lista se está confeccionando en dos días me parece que van a hacer cerca de 200 fármacos”, dijo.
 
Ver tambiénContralor Nelson Shack sobre Rolex de Dina Boluarte: Funcionarios no están obligados a detallar bienesMinistra de la Mujer sobre Rolex de Dina Boluarte: “Es un tema personal. No debemos distraernos con estas denuncias”Alex Contreras sobre relojes Rolex: ""No usamos recursos públicos"" TagsDina BoluarteRolexCésar VásquezRelacionadasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadCaso Rolex: Wilfredo Oscorima declara en la FiscalíaActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
Contralor se retracta sobre Rolex de Dina Boluarte: Funcionarios públicos están obligados a declarar,https://canaln.pe/actualidad/nelson-shack-retracta-relojes-dina-boluarte-funcionarios-publicos-deben-declarar-todo-su-patrimonio-n471894,2024-03-19,"Contralor se retracta sobre Rolex de Boluarte | Canal NActualidadPerúInternacionalesDeportes#AlertaNoticias998-131604ActualidadDina BoluarteRolexretiro afpGustavo Adrianzén  ActualidadContralor se retracta sobre Rolex de Dina Boluarte: Funcionarios públicos están obligados a declararNelson Shack mencionó que la intención es garantizar transparencia y facilitar la fiscalización. / Video: Canal NEl contralor indicó que, según la normativa vigente, los funcionarios públicos deben declarar todo su patrimonio, incluyendo joyas, si estas superan un valor determinado
Por:Redacción Canal N »
El contralor general de la República, Nelson Shack, aclaró su manifestación respecto a que la presidenta Dina Boluarte no estaba obligada a detallar cada bien que posee, como relojes o cuadros. 

En diálogo con Canal N, indicó que, según la normativa vigente, los funcionarios públicos deben declarar todo su patrimonio, incluyendo joyas, si estas superan un valor determinado.
“La declaración es un proceso que se realiza al inicio, periódicamente y al finalizar la función pública, y comprende tanto los ingresos como los bienes inmuebles y muebles”, agregó.
En esa línea, mencionó que la intención es garantizar transparencia y facilitar la fiscalización para detectar posibles desbalances patrimoniales.  
Las declaraciones se dividen en una parte pública, accesible en línea, y una parte privada, protegida por ley, que contiene información detallada sobre recursos financieros.  
Disposición a apoyar en la investigación 
La Fiscalía ha iniciado una investigación preliminar, y el contralor, Nelson Shack, ha afirmado su disposición a colaborar, entregando las declaraciones juradas requeridas para el caso. 
Ver tambiénSindicato de Contraloría cuestiona declaraciones de Nelson Shack sobre relojes de Dina BoluarteLuis Lamas Puccio: Contraloría no tiene competencia para determinar el origen de los relojes de Dina BoluarteDina Boluarte es captada saliendo de oficina de su consejero legal TagsNelson ShackDina BoluarterelojesContraloríaRelacionadasActualidadDina Boluarte: Congreso rechaza la admisión de dos mociones de vacancia contra la presidentaActualidadWerner Salcedo, gobernador de Cusco: ""Wilfredo Oscorima me facilitó un Rolex porque me vio con la muñeca vacía""ActualidadCaso Rolex: Wilfredo Oscorima declara en la FiscalíaActualidadDaniel Maurate: La presidenta nos ha señalado que es honorable, correcta y que jamás ha cometido un acto de corrupciónActualidadEdhit Julon sobre CTS: Hay diferentes instituciones que se niegan al proyecto, pero es el dinero de todosActualidadCongresista Susel Paredes sobre Dina Boluarte: ""Hay muchas razones para la vacancia presidencial""Loading...© Canal N | CONTÁCTANOS: Redacción: info@canaln.pe - tlf: 411-0808",CanalN
